MMSI,Timestamp,Latitude,Longitude,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,Latitude_next,Longitude_next
316005417,2021-11-14 00:00:42,49.64883,-124.08111,6.9,190.0,191,CAPTAIN COOK,IMO6613483,CY7903,31.0,0.0,21.0,6.0,3.7,52,A,49.535653421769766,-124.1119316045835
316005718,2021-11-14 00:00:08,49.15884,-122.96935,0.4,187.4,511,SEASPAN SCOUT,,UNKNOWN,31.0,5.0,14.0,6.0,0.3,52,A,49.15223331371258,-122.97066208814869
316005813,2021-11-14 00:00:10,49.12403,-123.18767,0.1,360.0,511,PENDER ISLE,,VG9704,30.0,15.0,21.0,6.0,3.0,30,A,49.12569554361416,-123.18767
316007886,2021-11-14 00:00:12,43.83232,-66.12551,0.0,360.0,58,TIDAL PIONEER,IMO9928425,CZY3197,52.0,0.0,26.0,11.0,3.5,53,A,43.83232,-66.12551
316009547,2021-11-14 00:00:24,48.9427,-123.69416,8.9,40.9,42,KUPER,IMO9029267,CFN4618,60.0,0.0,52.0,16.0,2.9,60,A,49.054742715774445,-123.54639438623244
316009560,2021-11-14 00:00:08,42.8998,-79.24587,0.3,203.0,189,ALGOSCOTIA,IMO9273222,VAAP,80.0,0.0,148.0,23.0,9.3,81,A,42.89520057705858,-79.24853514476919
316012046,2021-11-14 00:00:04,48.43115,-123.42957,0.0,0.0,511,CFAV TILLICUM,,CFA2615,35.0,0.0,17.0,7.0,0.0,35,A,48.43115,-123.42957
316013040,2021-11-14 00:00:01,44.88416,-66.76447,15.1,346.0,348,GRAND MANAN ADVENTUR,IMO9558103,XJAV,60.0,0.0,85.0,18.0,4.6,60,A,45.128186547462825,-66.85034106564477
316014803,2021-11-14 00:00:06,49.28657,-123.09735,0.0,267.0,354,NORDIC PEARL,IMO8825896,CFK9324,30.0,7.0,29.0,9.0,4.0,30,A,49.28657,-123.09735
316015121,2021-11-14 00:00:10,44.17224,-76.70356,0.0,44.5,511,FRONTENAC II,IMO5068875,VDLK,90.0,0.0,55.0,11.0,2.7,60,A,44.17224,-76.70356
316015840,2021-11-14 00:00:05,44.9539,-66.90406,0.0,97.4,230,MULTI QUALITY,IMO9781944,CJB2083,52.0,0.0,27.0,10.0,3.0,52,A,44.9539,-66.90406
316020871,2021-11-14 00:00:00,48.71239,-123.53986,0.0,311.5,127,SEASPAN EAGLE,IMO9432971,CFN6642,31.0,0.0,28.0,12.0,5.3,31,A,48.71239,-123.53986
316022038,2021-11-14 00:00:08,49.27913,-122.70707,9.9,9.5,511,OCEAN GORDON,,UNKNOWN,31.0,15.0,14.0,5.0,0.5,52,A,49.4417574668526,-122.66535392411738
316024256,2021-11-14 00:00:01,46.5078,-84.33692,0.1,44.1,323,SHARON M I,IMO9084059,CFP2006,31.0,12.0,34.0,10.0,5.3,52,A,46.508996070669404,-84.33523592689706
316025599,2021-11-14 00:00:03,49.29835,-123.02854,0.0,313.7,185,OCEAN STEVNS,IMO9224960,CFN6673,31.0,0.0,31.0,11.0,5.3,52,A,49.29835,-123.02854
316030626,2021-11-14 00:00:17,48.80919,-123.33336,13.3,354.0,356,SALISH EAGLE,IMO9750282,CFCX,70.0,0.0,27.0,9.0,,60,A,49.0294938057326,-123.36851937009284
316030917,2021-11-14 00:00:00,49.18777,-123.88751,2.1,151.6,155,INLET CRUSADER,,UNKNOWN,31.0,0.0,19.0,8.0,3.8,52,A,49.15700304567187,-123.86205699524253
316031979,2021-11-14 00:00:16,47.61652,-122.51171,0.0,207.3,511,SOLANA,,CFA2482,37.0,15.0,20.0,5.0,1.4,37,A,47.61652,-122.51171
316032771,2021-11-14 00:00:04,41.85393,-124.95962,10.3,170.3,511,POLARIS,,UNKNOWN,37.0,0.0,27.0,9.0,,0,B,41.68483159180503,-124.92081408399385
316033814,2021-11-14 00:00:08,49.14414,-123.03376,0.0,97.4,97,SEASPAN RELIANT,IMO9764233,CFEB,37.0,0.0,27.0,9.0,,71,A,49.14414,-123.03376
